,lon,lat
LOMBARD -  IL,-88.0078435,41.8800296
JAMAICA -  NY,-73.7889689,40.702677
LODI -  CA,-121.2722194,38.1341477
BELLEVUE -  WA,-122.2006786,47.610377
CONLEY -  GA,-84.342222,33.640278
LINWOOD -  NJ,-74.5751557,39.3398382
EL PASO -  TX,-106.4424559,31.7775757
EDINBORO -  PA,-80.1317236,41.8742225
SUNCOOK -  NH,-71.4531241,43.130638
PEMBROKE PINES -  FL,-80.2962555,26.007765
HUMBLE -  TX,-95.2621553,29.9988312
MONTEBELLO -  CA,-118.1137535,34.0165053
BRADENTON -  FL,-82.5748194,27.4989278
KANSAS CITY -  MO,-94.5785667,39.0997265
LOUISVILLE -  CO,-105.1319296,39.977763
CANTON -  OH,-81.378447,40.7989473
ESSINGTON -  PA,-75.2969952,39.862153
NILES -  IL,-87.8028402,42.0189191
TORRANCE -  CA,-118.3406288,33.8358492
BOZEMAN -  MT,-111.047222,45.677778
SAINT CLOUD -  MN,-94.1632404,45.5579451
CLINTON -  IL,-88.9645253,40.1536479
LOCKWOOD -  MO,-93.9532705,37.3856044
PRESTON -  MD,-75.9099361,38.7126151
PLEASANTON -  CA,-121.8746789,37.6624312
PORTAGE -  OH,-83.6507668,41.3267189
LA CANADA FLINTRIDGE -  CA,-118.2000277,34.2068182
FAYETTEVILLE -  AR,-94.1574263,36.0625795
COTEAU-DU-LAC -  QC,-74.1746818,45.2916257
EAGAN -  MN,-93.1668858,44.8041322
NEW LENOX -  IL,-87.9656098,41.5119761
INVER GROVE HEIGHTS -  MN,-93.0427153,44.8480218
PFLUGERVILLE -  TX,-97.6200043,30.4393696
MANDEVILLE -  LA,-90.0656311,30.3582506
CANAL WINCHESTER -  OH,-82.8123646,39.8466556
WILSONVILLE -  OR,-122.7737062,45.2998418
TORONTO -  ON,-79.3831843,43.653226
HOLLAND -  MI,-86.1089301,42.7875235
MILWAUKIE -  OR,-122.6392606,45.4462305
SOUTHBOROUGH -  MA,-71.5245087,42.3056501
MOKENA -  IL,-87.8892189,41.5261437
ELGIN -  IL,-88.283333,42.033333
ALTOONA -  PA,-78.3947359,40.5186809
HUNTINGDON VALLEY -  PA,-75.0727956,40.1379904
MCDONOUGH -  GA,-84.1468616,33.4473361
LITHONIA -  GA,-84.1051939,33.7123305
BARTLETT -  TN,-89.8739753,35.2045328
CROSSETT -  AR,-91.9612427,33.1281779
BROOKFIELD -  IL,-87.8517253,41.8239203
WILLOWBROOK -  IL,-87.9358931,41.7697533
BELLEVUE -  NE,-95.934167,41.158611
BREA -  CA,-117.9000604,33.9166805
POMONA -  CA,-117.7499909,34.055103
NORTH HOLLYWOOD -  CA,-118.3812562,34.187044
SOUTHFIELD -  MI,-83.2218731,42.4733688
CAMARILLO -  CA,-119.0376023,34.2163937
ROCKFORD -  IL,-89.0939952,42.2711311
ROSEMOUNT -  MN,-93.1257723,44.7394103
SEWELL -  NJ,-75.1441926,39.7662167
CHERRY HILL -  NJ,-75.0246312,39.926813
PHILADELPHIA -  PA,-75.163789,39.952335
PLYMOUTH -  MA,-70.6672621,41.9584457
WEST CHICAGO -  IL,-88.2039607,41.8847507
DAYTON -  OH,-84.1916069,39.7589478
LITTLE ROCK -  AR,-92.2895948,34.7464809
DOYLESTOWN -  PA,-75.1298939,40.3101063
WEST FRANKFORT -  IL,-88.9233622,37.8985966
WEST FARGO -  ND,-96.8999057,46.8769487
COLLIERVILLE -  TN,-89.6645266,35.042036
NORWALK -  CA,-118.081733,33.9022367
BUFORD -  GA,-84.0043513,34.1206564
SISTERS -  OR,-121.5492118,44.2909491
YOUNGSTOWN -  OH,-80.6495194,41.0997803
MARINA DEL REY -  CA,-118.4517449,33.9802893
VANCOUVER -  WA,-122.6614861,45.6387281
WINNIPEG -  MB,-97.1374937,49.8997541
BURBANK -  IL,-87.760738,41.7467619
AUSTIN -  TX,-97.7430608,30.267153
DOWNERS GROVE -  IL,-88.0111746,41.8089191
WOOSTER -  OH,-81.935143,40.8050565
BRANDON -  FL,-82.2859247,27.937801
URBANA -  OH,-83.7524298,40.1083912
FOUNTAIN HILLS -  AZ,-111.72,33.6
CORAOPOLIS -  PA,-80.1667247,40.5184013
WALNUT -  CA,-117.8653386,34.0202894
BIRMINGHAM -  AL,-86.80249,33.5206608
SUGAR GROVE -  IL,-88.443686,41.7614181
LANSDALE -  PA,-75.2837862,40.2414952
OLNEY -  IL,-88.0853154,38.7308811
EULESS -  TX,-97.0819541,32.8370727
VISALIA -  CA,-119.2920585,36.3302284
MATTHEWS -  NC,-80.7236804,35.1168131
SURREY -  BC,-122.85,49.183333
OSCEOLA -  IN,-86.075836,41.6650487
